,市HP,フリガナ,住所,電話番号,メールアドレス,測地系,備考,行政組織規則,公共施設等総合管理計画,A,B,C,D：C＝「有」の場合,E：C＝「有」かつD＝「無」の場合,,,
武生南児童センター,〇,タケフミナミジドウセンター,越前市武生柳町１１－２８,0778235892,-,E913849857832283,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市武生南児童センター,越前市武生柳町11番28号
武生西児童センター,〇,タケフニシジドウセンター,越前市中央二丁目４－１０,0778234893,-,E913849873619859,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市武生西児童センター,越前市中央二丁目4番10号
大虫児童館,〇,オオムシジドウカン,越前市丹生郷町１３－２０－４,0778250770,-,E913849875116839,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市大虫児童館,越前市丹生郷町第13号20番地の4
国高児童センター,〇,クニタカジドウセンター,越前市国高二丁目３２５－３,0778215055,-,E913849894433733,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市国高児童センター,越前市国高二丁目325番地3
味真野児童センター,〇,アジマノジドウセンター,越前市池泉町１４－１,077827899,-,E913849949153599,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市味真野児童センター,越前市池泉町第14号1番地
岡本児童館,〇,オカモトジドウカン,越前市定友町１０－１５,0778430974,-,E913849984845391,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市岡本児童館,越前市定友町第10号15番地
南中山児童館,〇,ミナミナカヤマジドウカン,越前市西庄境町２１－７－１,0778430991,-,E913873321612692,,〇,×,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市服間児童館,越前市藤木町第12号43番地
服間児童館,〇,フクマジドウカン,越前市藤木町１２－４３,0778431722,-,E913873323887531,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市南中山児童館,越前市西庄境町第21号7番地の1
北日野児童センター,〇,キタヒノジドウセンター,越前市小野谷町１－１３,0778221176,-,E913849867219398,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市北日野児童センター,越前市小野谷町第1号13番地
神山児童館,〇,カミヤマジドウカン,越前市広瀬町102-41,0778425573,-,E913849844591458,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市神山児童館,越前市広瀬町第102号41番地
北新庄児童館,〇,キタシンジョウジドウカン,越前市北町５４－２５,0778427601,-,E913849896647787,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市北新庄児童館,越前市北町第54号25番地
花筐児童館,〇,カキョウジドウカン,越前市粟田部町１７－１７,0778430990,-,E913849979375132,,〇,〇,無,子ども福祉課,無,無,,越前市児童館設置及び管理条例,越前市花筐児童館,越前市粟田部町第17号17番地
公民館,,,,,,,,,,,,,,,,,
武生東公民館,〇,タケフヒガシコウミンカン,福井県越前市国府二丁目9-12,0778234763,takefuhigashi_ko@city.echizen.lg.jp,E913849884365354,,〇公民館,〇,有,生涯学習課,有,,,,,
武生西公民館,〇,タケフニシコウミンカン,福井県越前市中央二丁目5-35,0778234635,takefunishi_ko@city.echizen.lg.jp,E913849873615577,,〇公民館,〇,有,生涯学習課,有,,,,,
武生西公民館別館,×,タケフニシコウミンカンベッカン,福井県越前市中央２丁目８－２３,-,-,E913849873568811,マピオンを参考,〇公民館,〇,,生涯学習課,,,,,,
武生南公民館,〇,タケフミナミコウミンカン,福井県越前市武生柳町12-27,0778235103,takefuminami_ko@city.echizen.lg.jp,E913849857589671,,〇公民館,〇,有,生涯学習課,有,,,,,
神山公民館,〇,カミヤマコウミンカン,福井県越前市広瀬町102-55-2,0778238010,kamiyama_ko@city.echizen.lg.jp,E913849844576824,,〇公民館,〇,有,生涯学習課,有,,,,,
吉野公民館,〇,ヨシノコウミンカン,福井県越前市本保町19-6,0778234600,yoshino_ko@city.echizen.lg.jp,E913873213334552,,〇公民館,〇,有,生涯学習課,有,,,,,
国高公民館,〇,クニタカコウミンカン,福井県越前市国高二丁目324-13,0778234601,kunitaka_ko@city.echizen.lg.jp,E913849894514894,,〇公民館,〇,有,生涯学習課,有,,,,,
大虫公民館,〇,オオムシコウミンカン,福井県越前市丹生郷町13-20-1,0778233508,omushi_ko@city.echizen.lg.jp,E913849872778999,,〇公民館,〇,有,生涯学習課,有,,,,,
坂口公民館,〇,サカグチコウミンカン,福井県越前市湯谷町24-18-1,0778281046,sakaguchi_ko@city.echizen.lg.jp,E913849725751221,,〇公民館,〇,有,生涯学習課,有,,,,,
王子保公民館,〇,オウシホコウミンカン,福井県越前市四郎丸町65-2-1,0778239666,oshio_ko@city.echizen.lg.jp,E913849828475379,,〇公民館,〇,有,生涯学習課,有,,,,,
北日野公民館,〇,キタヒノコウミンカン,福井県越前市矢放町21-11,0778234603,kitahino_ko@city.echizen.lg.jp,E913849867131756,,〇公民館,〇,有,生涯学習課,有,,,,,
北新庄公民館,〇,キタシンジョウコウミンカン,福井県越前市北町54-25,0778234604,kitashinjo_ko@city.echizen.lg.jp,E913849896671159,,〇公民館,〇,有,生涯学習課,有,,,,,
味真野公民館,〇,アジマノコウミンカン,福井県越前市味真野町7-2-1,0778271926,ajimano_ko@city.echizen.lg.jp,E913849945842239,,〇公民館,〇,有,生涯学習課,有,,,,,
白山公民館,〇,シラヤマコウミンカン,福井県越前市都辺町36-84,0778281045,shirayama_ko@city.echizen.lg.jp,E913849744945926,,〇公民館,〇,有,生涯学習課,有,,,,,
花筐公民館,〇,カキョウコウミンカン,福井県越前市粟田部町17-20,0778420361,kakyo-ko@city.echizen.lg.jp,E913849979371831,,〇公民館,〇,有,生涯学習課,有,,,,,
岡本公民館,〇,オカモトコウミンカン,福井県越前市定友町10-2-2,0778421438,okamoto-ko@city.echizen.lg.jp,E913849984811386,,〇公民館,×,有,生涯学習課,有,,,,,
南中山公民館,〇,ミナミナカヤマコウミンカン,福井県越前市西庄境町21-7-1,0778431290,minaminaka-ko@city.echizen.lg.jp,E913873321612663,,〇公民館,×,有,生涯学習課,有,,,,,
服間公民館,〇,フクマコウミンカン,福井県越前市藤木町12-39-1,0778430977,fukuma-ko@city.echizen.lg.jp,E913873323884739,,〇公民館,×,有,生涯学習課,有,,,,,
,,,,,,,,,,,,,,,,,
公営住宅,,,,,,,,,,,,,,,,,
粟田部中央団地,×,アワタベチュウオウダンチ,,,,,,×,○,,,,,,,,
粟田部東（今立）団地,×,アワタベヒガシ(イマダテ)ダンチ,,,,,,×,○,,,,,,,,
粟田部東（東）団地,×,アワタベヒガシ(ヒガシ)ダンチ,,,,,,×,○,,,,,,,,
王子保団地,×,オウシホダンチ,,,,,,×,○,,,,,,,,
家久団地,×,イエヒサダンチ,,,,,,×,○,,,,,,,,
朽飯団地,×,クダシダンチ,,,,,,×,○,,,,,,,,
五分市団地,×,ゴブイチダンチ,,,,,,×,○,,,,,,,,
行松団地,×,ユキマツダンチ,,,,,,×,○,,,,,,,,
佐山団地,×,サヤマダンチ,,,,,,×,○,,,,,,,,
芝原団地,×,シバハラダンチ,,,,,,×,○,,,,,,,,
春日団地,×,カスガダンチ,,,,,,×,○,,,,,,,,
昭和団地,×,ショウワダンチ,,,,,,×,○,,,,,,,,
上太田団地,×,カミオオタダンチ,,,,,,×,○,,,,,,,,
新在家団地,×,シンザイケダンチ,,,,,,×,○,,,,,,,,
西樫尾団地,×,ニシカシオダンチ,,,,,,×,○,,,,,,,,
村国団地,×,ムラクニダンチ,,,,,,×,○,,,,,,,,
村国北団地,×,ムラクニキタダンチ,,,,,,×,○,,,,,,,,
池泉団地,×,イケイズミダンチ,,,,,,×,○,,,,,,,,
藤の木団地,×,フジノキダンチ,,,,,,×,○,,,,,,,,
馬上免団地,×,バジョウメンダンチ,,,,,,×,○,,,,,,,,
馬塚団地,×,ウマヅカダンチ,,,,,,×,○,,,,,,,,
八王子団地,×,ハチオウジダンチ,,,,,,×,○,,,,,,,,
富永（粟田部）団地,×,トミナガ(アワタベ)ダンチ,,,,,,×,○,,,,,,,,
富永（富永）団地,×,トミナガ(トミナガ)ダンチ,,,,,,×,○,,,,,,,,
武生西団地,×,タケフニシダンチ,,,,,,×,○,,,,,,,,
武生南団地,×,タケフミナミダンチ,,,,,,×,○,,,,,,,,
北日野団地,×,キタヒノダンチ,,,,,,×,○,,,,,,,,
緑団地,×,リョクダンチ,,,,,,×,○,,,,,,,,
公園建築系公共施設,,,,,,,,,,,,,,,,,
公園内の管理連,×,コウエンナイノカンリレン,,,,,,×,○,,,,,,,,
倉庫,×,ソウコ,,,,,,×,○,,,,,,,,
公衆便所,×,コウシュウベンジョ,,,,,,×,○,,,,,,,,
その他,,,,,,,,,,,,,,,,,
霊園,×,レイエン,,,,,,×,○,,,,,,,,
自転車置き場,×,ジテンシャオキバ,,,,,,×,○,,,,,,,,
車庫,×,シャコ,,,,,,×,○,,,,,,,,
倉庫,×,ソウコ,,,,,,×,○,,,,,,,,
公衆便所,×,コウシュウベンジョ,,,,,,×,○,,,,,,,,
屋外施設,×,オクガイシセツ,,,,,,×,○,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,〇学校給食共同調理場,,,教育振興課,,,,,,
